ORF,O1,O2,N1,N2,S1,S2,Q1,Q2
CAGL0G09152g,296,197,229,224,122,161,291,180
CAGL0G09174g,1518,981,1307,1425,626,1128,1584,814
CAGL0G09196g,343,187,295,288,113,164,400,158
CAGL0G09218g,1021,771,739,637,319,760,884,655
CAGL0G09229g,2,0,0,0,1,1,0,0
CAGL0G09251g,570,434,568,413,232,313,516,440
CAGL0G09262g,703,578,659,440,228,274,600,582
CAGL0G09273g,135,87,64,71,54,128,122,21
CAGL0G09295g,1359,913,1270,1003,524,855,1232,818
CAGL0G09317g,1290,1041,1078,684,473,885,993,859
CAGL0G09339g,874,641,955,940,369,508,985,630
CAGL0G09361g,2168,1439,2531,2538,1221,1124,2680,1454
CAGL0G09383g,265491,187359,248513,193453,132704,121866,216385,160706
CAGL0G09405r,0,0,0,1,0,0,0,0
CAGL0G09449g,7444,7152,8555,8675,4032,4569,8560,4760
CAGL0G09471r,0,3,1,3,0,0,2,2
CAGL0G09493g,1052,703,1067,872,263,557,1106,664
CAGL0G09515g,821,782,1423,1543,257,331,1531,935
CAGL0G09537g,262,213,210,186,126,200,174,131
CAGL0G09559g,1634,1223,1507,1185,472,769,1380,916
CAGL0G09581g,9562,7510,6740,5849,4397,4274,7160,5026
CAGL0G09603g,424,354,444,279,201,252,344,289
CAGL0G09625g,1,0,2,0,0,2,1,0
CAGL0G09647g,1,0,4,3,0,0,0,0
CAGL0G09669g,5317,3889,4026,2690,1840,2863,3591,2900
CAGL0G09680r,3,4,3,0,3,2,2,3
CAGL0G09691g,2453,1890,1974,1875,1175,1634,1957,1312
CAGL0G09713g,24179,13708,17245,12925,12379,17908,17558,9245
CAGL0G09735g,851,657,881,968,318,340,917,729
CAGL0G09757g,1198,942,1205,884,338,759,1109,762
CAGL0G09779g,465,456,326,364,163,532,662,244
CAGL0G09801g,1807,1268,998,1219,709,1415,1301,620
CAGL0G09823g,974,678,852,701,419,669,847,584
CAGL0G09845g,626,525,444,353,218,427,506,387
CAGL0G09867g,1213,934,1120,891,365,788,1096,719
CAGL0G09889g,1111,955,945,709,323,869,997,672
CAGL0G09911g,3534,2394,2928,2640,1128,1956,3365,2214
CAGL0G09933g,458,288,368,228,154,299,404,242
CAGL0G09955g,1832,1477,1559,1586,631,801,1572,1246
CAGL0G09977g,1736,1101,4075,3946,819,897,2441,974
CAGL0G09999g,332,258,390,459,136,269,538,267
CAGL0G10021g,517,392,410,243,125,303,332,254
